ID,NAME,LAT(D),LON(D),ALT(M),DATE(YMD),TIME,BAT(v),GPS,RFS(m),RFD(m),T(c),TN(c),TX(C),TNX(C),RH(%),WD1(D),WS1(m/s),WD2(D),WS2(m/s),SLP(hPa),SS(min),ST1(c),SM1(m3/m3),ST2(c),SM2(m3/m3),ST3(c),SM3(m3/m3),ST4(c),SM4(m3/m3),WSM1(m/s),WSM2(m/s)
"10053",Piprakothi,26.542480,84.943000,67.00,2021-02-09,18:15:00,12.7,L,0,0,19.8999999999999986,19.8999999999999986,20.3000000000000007,,66.5,79,0.369999999999999996,,,1004.29999999999995,,,,,,,,,,0.770000000000000018,
"10039",Madhuban,26.451580,85.154070,63.00,2021-02-09,18:15:00,12.5,L,0,0,19.1999999999999993,19.1999999999999993,19.5,,71.5999999999999943,0,0,,,760,,,,,,,,,,0,
"10042",Shiraha,26.523540,85.066150,68.00,2021-02-09,18:15:00,12.7,L,0,0,17.1999999999999993,17.1999999999999993,18,,82.4000000000000057,0,0,,,1006.60000000000002,,,,,,,,,,0,
"10017",Katrisarai,25.086580,85.634330,62.00,2021-02-09,18:15:00,12.7,L,0,0,17.6000000000000014,17.6000000000000014,18.3000000000000007,,80.2999999999999972,0,0,,,760,,,,,,,,,,0,
"10041",Rupaliya,26.506080,85.173340,66.00,2021-02-09,18:15:00,12.6,L,0,0,17.6000000000000014,17.6000000000000014,18.1999999999999993,,76.9000000000000057,0,0,,,1007.5,,,,,,,,,,0,
"10032",South Sugnaw,26.720150,84.766950,74.00,2021-02-09,18:15:00,13.2,L,0,0,17.3000000000000007,17.3000000000000007,18.1000000000000014,,79.2000000000000028,0,0,,,1006.70000000000005,,,,,,,,,,0,
"10011",Karai Parsurai,25.377364,85.271987,56.00,2021-02-09,18:15:00,12.2,L,0,0,20.3000000000000007,20.3000000000000007,20.8999999999999986,,60.2999999999999972,0,0,,,1007.5,,,,,,,,,,0,
"10027",Noorsarai,25.267580,85.459110,54.00,2021-02-09,18:15:00,12.6,L,0,0,18.1999999999999993,18.1999999999999993,18.6000000000000014,,75.7999999999999972,0,0,,,1009,,,,,,,,,,0,
"10009",Basantpur,26.496582,87.017733,79.00,2021-02-09,18:15:00,13.0,L,0,0,19.1000000000000014,19.1000000000000014,19.6999999999999993,,70.7999999999999972,243,2.29000000000000004,,,1007.20000000000005,,,,,,,,,,43.6899999999999977,
"10047",Akderi,26.842910,85.006600,77.00,2021-02-09,18:15:00,13.0,L,0,0,18.1000000000000014,18.1000000000000014,18.8999999999999986,,73.2999999999999972,0,0,,,1004.60000000000002,,,,,,,,,,0,
